"Bin","BinRA","TopTaxonID","TopTaxonRAinBin","TopTaxon.kingdom","TopTaxon.phylum","TopTaxon.class","TopTaxon.order","TopTaxon.family","TopTaxon.genus","TopTaxon.species","TopTaxon.Confidence","kingdom.maxNamed","kingdom.maxNamed.Percent","phylum.maxNamed","phylum.maxNamed.Percent","class.maxNamed","class.maxNamed.Percent","order.maxNamed","order.maxNamed.Percent","family.maxNamed","family.maxNamed.Percent","genus.maxNamed","genus.maxNamed.Percent","species.maxNamed","species.maxNamed.Percent","Confidence.maxNamed","Confidence.maxNamed.Percent"
"Bin24",0.0260549061980765,"Zotu57",0.102981486011042,"Fungi","_Basidiomycota","_Agaricomycetes","_Agaricales","_unidentified","_unidentified","_unidentified","0.7499372","Fungi",1,"_Basidiomycota",0.820905812127062,"_Agaricomycetes",0.815078229678483,"_Agaricales",0.360577048562974,"_Ceratobasidiaceae",0.257108510157744,"_unidentified",0.405284535408243,"_unidentified",0.446697400610353,"0.7499372",0.102981486011042
"Bin25",0.014181734044191,"Zotu154",0.0724166058137608,"Fungi","_Basidiomycota","_Agaricomycetes","_Thelephorales","_Thelephoraceae","_unidentified","_unidentified","0.8946662","Fungi",1,"_Basidiomycota",0.999791112616365,"_Agaricomycetes",0.999791112616365,"_Thelephorales",0.907279767870446,"_Thelephoraceae",0.907279767870446,"",0.421134878246292,"",0.508454165057478,"0.8946662",0.0724166058137608
"Bin26",0.0377496959267629,"Zotu33",0.0827512392466564,"Fungi","_Basidiomycota","_Agaricomycetes","_Agaricales","_Inocybaceae","_Inocybe","","0.9894361","Fungi",1,"_Basidiomycota",0.957724125052878,"_Agaricomycetes",0.952093845464164,"_Agaricales",0.882490770320742,"_Inocybaceae",0.315139362889754,"_Inocybe",0.310526992711116,"",0.353515667661588,"0.9894361",0.0827512392466564
"Bin27",0.0642857853419324,"Zotu7",0.139990866443274,"Fungi","_Basidiomycota","_Agaricomycetes","_Agaricales","_Hygrophoraceae","_Hygrocybe","_unidentified","0.9932343","Fungi",1,"_Basidiomycota",0.997962897239764,"_Agaricomycetes",0.996805709255028,"_Agaricales",0.588773987251248,"_Hygrophoraceae",0.488133468803776,"_Hygrocybe",0.484890635473195,"_unidentified",0.432518925075957,"0.9932343",0.139990866443274
"Bin28",0.0102816488699814,"Zotu114",0.18695239359265,"Fungi","_Basidiomycota","_Agaricomycetes","_Agaricales","_Hygrophoraceae","_Gliophorus","_Gliophorus_psittacinus","0.8216110","Fungi",1,"_Basidiomycota",0.549913070931611,"_Agaricomycetes",0.422121438663485,"",0.484776840870843,"",0.486980120291648,"",0.495132738246259,"",0.497305488431439,"1.0000000",0.40612312486075
"Bin29",0.0161218963123877,"Zotu93",0.115196817702472,"Fungi","_Basidiomycota","_Agaricomycetes","_Trechisporales","_Hydnodontaceae","_Subulicystidium","_Subulicystidium_perlongisporum","0.9946823","Fungi",1,"_Basidiomycota",0.396926098797878,"",0.402425221533353,"",0.402425221533353,"",0.413707928752074,"",0.419779622685794,"",0.42069788422512,"1.0000000",0.354850812215577
"Bin30",0.00422381428491508,"Zotu143",0.27354124591248,"Fungi","","","","","","","1.0000000","Fungi",1,"",0.672666459466156,"",0.685910173321981,"",0.706410991824063,"",0.706410991824063,"",0.707328249259582,"",0.715219521958966,"1.0000000",0.672666459466156
"Bin31",0.00716246557368981,"Zotu285",0.105113553758773,"Fungi","","","","","","","1.0000000","Fungi",1,"_Ascomycota",0.744911963272722,"_Dothideomycetes",0.717471598769502,"_Pleosporales",0.680087294632642,"_Didymosphaeriaceae",0.447787758798429,"",0.361568189278409,"",0.408815922948757,"1.0000000",0.233019590334551
"Bin32",0.0171653365562741,"Zotu37",0.204604732111074,"Fungi","_Ascomycota","_Pezizomycetes","_Pezizales","_Pezizaceae","_unidentified","_unidentified","0.9867320","Fungi",1,"_Ascomycota",0.691219125939293,"_Pezizomycetes",0.616688375153813,"_Pezizales",0.616688375153813,"_Pyronemataceae",0.353948539091431,"_unidentified",0.380299997401471,"_unidentified",0.481980114018589,"1.0000000",0.39007291079836
"Bin33",0.00636964616764515,"Zotu405",0.131140632977487,"Fungi","_Glomeromycota","","","","","","0.9964688","Fungi",1,"_Glomeromycota",0.586303164767754,"",0.400707759556334,"",0.406030083433899,"",0.406030083433899,"",0.602719960208369,"",0.609165381924641,"0.9964688",0.131140632977487
