"ID","Bin","TaxonRelativeAbundance","kingdom","phylum","class","order","family","genus","species","Confidence"
"Zotu5793","Bin11",1.0413168997202e-05,"Fungi","_Ascomycota","_Dothideomycetes","_Capnodiales","_unidentified","_unidentified","_unidentified","0.8603075"
"Zotu5928","Bin11",1.0664986670909e-05,"Fungi","_Ascomycota","_Dothideomycetes","_Capnodiales","_unidentified","_unidentified","_unidentified","0.9729699"
"Zotu730","Bin11",0.000244003478555178,"Fungi","_Ascomycota","_Dothideomycetes","_Capnodiales","_unidentified","_unidentified","_unidentified","0.9634737"
"Zotu795","Bin11",0.000220628554458007,"Fungi","_Ascomycota","_Dothideomycetes","_Capnodiales","_unidentified","_unidentified","_unidentified","0.9675015"
"Zotu8875","Bin11",1.68066563452318e-05,"Fungi","_Ascomycota","_Dothideomycetes","_Capnodiales","_unidentified","_unidentified","_unidentified","0.9639363"
"Zotu653","Bin11",0.000355164331266188,"Fungi","_Ascomycota","_Dothideomycetes","_Capnodiales","_unidentified","_unidentified","_unidentified","0.8013849"
"Zotu1636","Bin11",8.18177327728641e-05,"Fungi","_Ascomycota","_Dothideomycetes","_Capnodiales","_unidentified","_unidentified","_unidentified","0.7818403"
"Zotu5033","Bin11",1.48565363639007e-05,"Fungi","_Ascomycota","_Dothideomycetes","_Capnodiales","_unidentified","_unidentified","_unidentified","0.9575206"
"Zotu9725","Bin11",1.62615093448828e-05,"Fungi","_Ascomycota","_Dothideomycetes","_Capnodiales","_unidentified","_unidentified","_unidentified","0.9302631"
"Zotu3213","Bin11",5.13169255824503e-05,"Fungi","_Ascomycota","_Dothideomycetes","_Capnodiales","_unidentified","_unidentified","_unidentified","0.9104249"
"Zotu1969","Bin11",6.59191430851457e-05,"Fungi","_Ascomycota","_Dothideomycetes","_Capnodiales","_unidentified","_unidentified","_unidentified","0.8841307"
"Zotu5876","Bin11",1.25898539113939e-05,"Fungi","_Ascomycota","_Dothideomycetes","_Capnodiales","_unidentified","_unidentified","_unidentified","0.8414734"
"Zotu10363","Bin11",5.72761191380794e-06,"Fungi","_Ascomycota","_Dothideomycetes","_Capnodiales","_unidentified","_unidentified","_unidentified","0.9376627"
"Zotu9980","Bin11",5.26779139238834e-06,"Fungi","_Ascomycota","_Dothideomycetes","_Capnodiales","_unidentified","_unidentified","_unidentified","0.9838173"
"Zotu11365","Bin11",2.44760767154342e-06,"Fungi","_Ascomycota","_Dothideomycetes","_Capnodiales","_unidentified","_unidentified","_unidentified","0.9821607"
"Zotu12584","Bin11",3.0408693680231e-06,"Fungi","_Ascomycota","_Dothideomycetes","_Capnodiales","_unidentified","_unidentified","_unidentified","0.9757920"
