"lhs","op","rhs","exo","est","se","z","pvalue","std.lv","std.all","std.nox"
"Fug_richness","~","SOC",0,-0.414331131872742,0.138855692431287,-2.98389734419981,0.0028460223924005,-0.414331131872742,-0.414331131872742,-0.415909541900429
"Fug_richness","~","Temp.",0,0.526067280848533,0.0703860358308998,7.47402911157537,7.7715611723761e-14,0.526067280848533,0.526067280848533,0.528071353937553
"Fug_richness","~","TN",0,0.691701707113702,0.139792585852673,4.94805717266498,7.49578941583451e-07,0.691701707113702,0.691701707113702,0.694336770778221
"DL","~","NO3",0,-0.186357284417383,0.0674481826262967,-2.76296969259963,0.00572780847019327,-0.186357284417383,-0.186614306163852,-0.187325220380767
"DL","~","Temp.",0,0.509133479269091,0.0750244501094056,6.78623406804901,1.15099041408939e-11,0.509133479269091,0.509835670098051,0.511777908255531
"DL","~","Fug_richness",0,0.200757414073141,0.0760384214698221,2.64021017523117,0.00828546262051,0.200757414073141,0.201034296306873,0.201034296306873
"Rs","~","NO3",0,0.17720568199635,0.0980501156484097,1.8072970217779,0.0707159801599069,0.17720568199635,0.176808836495252,0.177482396406732
"Rs","~","TN",0,0.264000170509571,0.0972534641147877,2.71455801510549,0.00663642752759408,0.264000170509571,0.26340895199572,0.264412418303775
"Rs","~","Temp.",0,0.278548578130034,0.0997679097811058,2.79196566051328,0.00523889156053947,0.278548578130034,0.277924779001119,0.278983543898015
"Rs","~","DL",0,-0.167644917498228,0.0999516806755783,-1.67725961549728,0.0934917259330779,-0.167644917498228,-0.167039104628798,-0.167039104628798
"Fug_richness","~~","Fug_richness",0,0.631598285720332,0.0777443746893063,8.12403840463596,4.44089209850063e-16,0.631598285720332,0.636419646680029,0.636419646680029
"DL","~~","DL",0,0.574852208630136,0.0707594154530458,8.12403840463597,4.44089209850063e-16,0.574852208630136,0.580839258136093,0.580839258136093
"Rs","~~","Rs",0,0.793852971730839,0.0977165459087232,8.12403840463594,4.44089209850063e-16,0.793852971730839,0.796334179636925,0.796334179636925
"SOC","~~","SOC",1,0.992424242424242,0,NA,NA,0.992424242424242,1,0.992424242424242
"SOC","~~","Temp.",1,-0.0695089600537047,0,NA,NA,-0.0695089600537047,-0.0700395628022063,-0.0695089600537047
"SOC","~~","TN",1,0.858161817625899,0,NA,NA,0.858161817625899,0.864712671195562,0.858161817625899
"SOC","~~","NO3",1,0.563887071406614,0,NA,NA,0.563887071406614,0.568191552867734,0.563887071406614
"Temp.","~~","Temp.",1,0.992424242424242,0,NA,NA,0.992424242424242,1,0.992424242424242
"Temp.","~~","TN",1,-0.133882185626753,0,NA,NA,-0.133882185626753,-0.134904187043751,-0.133882185626753
"Temp.","~~","NO3",1,-0.00812422902397542,0,NA,NA,-0.00812422902397542,-0.00818624603942562,-0.00812422902397542
"TN","~~","TN",1,0.992424242424242,0,NA,NA,0.992424242424242,1,0.992424242424242
"TN","~~","NO3",1,0.577763020630354,0,NA,NA,0.577763020630354,0.582173425367991,0.577763020630354
"NO3","~~","NO3",1,0.992424242424242,0,NA,NA,0.992424242424242,1,0.992424242424242
