	kingdom	phylum	class	order	family	genus	species	Confidence
Zotu1	Fungi	_Mortierellomycota	_Mortierellomycetes	_Mortierellales	_Mortierellaceae	_Mortierella	_Mortierella_alpina	0.999118241
Zotu2	Fungi	_Mortierellomycota	_Mortierellomycetes	_Mortierellales	_Mortierellaceae	_Mortierella	_Mortierella_elongata	0.988726582
Zotu3	Fungi	_Ascomycota	_Sordariomycetes	_Hypocreales	_Nectriaceae	_Gibberella	_Gibberella_acuminata	0.99585838
Zotu4	Fungi	_Ascomycota	_Leotiomycetes	_Thelebolales	_Pseudeurotiaceae	_Pseudeurotium	_unidentified	0.974308618
Zotu5	Fungi	_Mortierellomycota	_Mortierellomycetes	_Mortierellales	_Mortierellaceae	_Mortierella	_Mortierella_sarnyensis	0.998986852
Zotu6	Fungi	_Basidiomycota	_Agaricomycetes	_Russulales	_Russulaceae	_Russula	_Russula_romellii	0.9997659
Zotu7	Fungi	_Basidiomycota	_Agaricomycetes	_Agaricales	_Hygrophoraceae	_Hygrocybe	_unidentified	0.993234302
Zotu8	Fungi	_Basidiomycota	_Agaricomycetes	_Agaricales	_Hygrophoraceae	_Hygrocybe	_unidentified	0.993319744
Zotu9	Fungi	_Basidiomycota	_Agaricomycetes	_Russulales	_Russulaceae	_Russula	_Russula_umerensis	0.891748893
Zotu10	Fungi	_Mortierellomycota	_Mortierellomycetes	_Mortierellales	_Mortierellaceae	_Mortierella	_Mortierella_elongata	0.995098422
Zotu11	Fungi	_Basidiomycota	_Geminibasidiomycetes	_Geminibasidiales	_Geminibasidiaceae	_Geminibasidium	_unidentified	0.999105298
Zotu12	Fungi	_Ascomycota	_Eurotiomycetes	_Eurotiales	_Aspergillaceae	_Penicillium		0.999021059
Zotu13	Fungi	_Mortierellomycota	_Mortierellomycetes	_Mortierellales	_Mortierellaceae	_Mortierella	_Mortierella_alpina	0.996006544
Zotu14	Fungi	_Basidiomycota	_Agaricomycetes	_Cantharellales	_Clavulinaceae	_Clavulina	_Clavulina_thindii	0.997676929
Zotu15	Fungi	_Basidiomycota	_Agaricomycetes	_Russulales	_Russulaceae	_Russula	_Russula_umerensis	0.807212253
Zotu16	Fungi	_Basidiomycota	_Agaricomycetes	_Russulales	_Russulaceae	_Russula	_Russula_mediterraneensis	0.99735284
Zotu17	Fungi	_Ascomycota	_Sordariomycetes	_Hypocreales	_Nectriaceae	_Fusarium		0.967520521
Zotu18	Fungi	_Basidiomycota	_Geminibasidiomycetes	_Geminibasidiales	_Geminibasidiaceae	_Geminibasidium	_unidentified	0.999943467
Zotu19	Fungi	_Basidiomycota	_Geminibasidiomycetes	_Geminibasidiales	_Geminibasidiaceae	_Geminibasidium	_unidentified	0.999612619
Zotu20	Fungi	_Mortierellomycota	_Mortierellomycetes	_Mortierellales	_Mortierellaceae	_Mortierella		0.999991591
Zotu21	Fungi	_Mortierellomycota	_Mortierellomycetes	_Mortierellales	_Mortierellaceae	_Mortierella	_Mortierella_alpina	0.993518403
Zotu22	Fungi	_Basidiomycota	_Agaricomycetes	_Agaricales	_Hygrophoraceae	_Hygrocybe	_Hygrocybe_acutoconica	0.999980194
Zotu23	Fungi	_Mortierellomycota	_Mortierellomycetes	_Mortierellales	_Mortierellaceae	_Mortierella	_Mortierella_alpina	0.999131499
Zotu24	Fungi	_Ascomycota	_Leotiomycetes					0.945563232
Zotu25	Fungi	_Ascomycota	_Sordariomycetes	_Hypocreales	_Stachybotryaceae			0.9999997
Zotu26	Fungi	_Basidiomycota	_Tremellomycetes	_Filobasidiales	_Piskurozymaceae	_Solicoccozyma	_unidentified	0.747786351
Zotu27	Fungi	_Basidiomycota	_Agaricomycetes	_Agaricales	_Clavariaceae	_Clavaria	_Clavaria_fumosa	0.999978998
Zotu28	Fungi	_Basidiomycota	_Agaricomycetes	_Cantharellales	_Clavulinaceae	_Clavulina	_Clavulina_coralloides	0.996164978
Zotu29	Fungi	_Basidiomycota	_Geminibasidiomycetes	_Geminibasidiales	_Geminibasidiaceae	_Geminibasidium	_unidentified	0.999754842
Zotu30	Fungi	_Ascomycota	_Leotiomycetes	_Thelebolales	_unidentified	_unidentified	_unidentified	0.842336523
Zotu31	Fungi	_Mortierellomycota	_Mortierellomycetes	_Mortierellales	_Mortierellaceae	_Mortierella	_Mortierella_alpina	0.906588984
Zotu32	Fungi	_Ascomycota	_Eurotiomycetes	_Eurotiales	_Trichocomaceae	_Talaromyces	_Talaromyces_verruculosus	0.849604126
Zotu33	Fungi	_Basidiomycota	_Agaricomycetes	_Agaricales	_Inocybaceae	_Inocybe		0.989436058
Zotu34	Fungi	_Mortierellomycota	_Mortierellomycetes	_Mortierellales	_Mortierellaceae	_Mortierella	_Mortierella_hyalina	0.998983089
Zotu35	Fungi	_Basidiomycota	_Agaricomycetes	_Russulales	_Russulaceae	_Russula		0.934589421
Zotu36	Fungi	_Mortierellomycota	_Mortierellomycetes	_Mortierellales	_Mortierellaceae	_Mortierella	_Mortierella_sarnyensis	0.999525121
Zotu37	Fungi	_Ascomycota	_Pezizomycetes	_Pezizales	_Pezizaceae	_unidentified	_unidentified	0.986732042
Zotu38	Fungi	_Ascomycota	_Sordariomycetes	_Xylariales	_Xylariales_fam_Incertae_sedis	_Castanediella		0.981910877
Zotu39	Fungi	_Mortierellomycota	_Mortierellomycetes	_Mortierellales	_Mortierellaceae	_Mortierella	_Mortierella_alpina	0.988057628
Zotu40	Fungi	_Basidiomycota	_Tremellomycetes	_Filobasidiales	_Piskurozymaceae	_Solicoccozyma	_unidentified	0.757485993
Zotu41	Fungi	_Ascomycota	_Eurotiomycetes	_Eurotiales	_Aspergillaceae	_Penicillium		0.999849827
Zotu42	Fungi	_Basidiomycota	_Geminibasidiomycetes	_Geminibasidiales	_Geminibasidiaceae	_Geminibasidium	_unidentified	0.99722088
Zotu43	Fungi	_Ascomycota	_Dothideomycetes	_Pleosporales	_Didymellaceae	_Paraboeremia	_Paraboeremia_selaginellae	0.876756123
Zotu44	Fungi	_Ascomycota	_Sordariomycetes	_Sordariales	_Chaetomiaceae	_Chaetomium	_unidentified	0.916572186
Zotu45	Fungi	_Ascomycota	_Archaeorhizomycetes	_Archaeorhizomycetales	_Archaeorhizomycetaceae	_Archaeorhizomyces	_unidentified	0.970999627
Zotu46	Fungi	_Basidiomycota	_Agaricomycetes	_Russulales	_Russulaceae	_Russula	_Russula_pascua	0.960897678
Zotu47	Fungi	_Ascomycota	_Dothideomycetes	_Pleosporales	_Pleosporales_fam_Incertae_sedis	_Thyrostroma		0.873658905
Zotu48	Fungi	_Ascomycota	_Archaeorhizomycetes	_Archaeorhizomycetales	_Archaeorhizomycetaceae	_Archaeorhizomyces	_unidentified	0.758278532
Zotu49	Fungi	_Ascomycota	_Dothideomycetes	_Capnodiales	_Cladosporiaceae	_Cladosporium	_Cladosporium_perangustum	0.736557525
Zotu50	Fungi	_Ascomycota	_Eurotiomycetes	_Eurotiales	_Aspergillaceae	_Penicillium		0.9996794
Zotu51	Fungi	_Ascomycota	_Eurotiomycetes	_Eurotiales	_Aspergillaceae	_Penicillium		0.999893292
Zotu52	Fungi	_Basidiomycota	_Geminibasidiomycetes	_Geminibasidiales				0.999999701
Zotu53	Fungi							1
Zotu54	Fungi	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	0.75806553
Zotu55	Fungi	_Mortierellomycota	_Mortierellomycetes	_Mortierellales	_Mortierellaceae	_Mortierella	_Mortierella_alpina	0.78007248
Zotu56	Fungi	_Ascomycota	_Dothideomycetes	_Capnodiales	_Cladosporiaceae	_Cladosporium	_Cladosporium_perangustum	0.936566702
Zotu57	Fungi	_Basidiomycota	_Agaricomycetes	_Agaricales	_unidentified	_unidentified	_unidentified	0.749937183
Zotu58	Fungi	_Basidiomycota	_Agaricomycetes	_Russulales	_Russulaceae	_Russula	_Russula_maculata	0.998796875
Zotu59	Fungi	_Ascomycota	_Archaeorhizomycetes	_Archaeorhizomycetales	_Archaeorhizomycetaceae	_Archaeorhizomyces	_unidentified	0.772580367
Zotu60	Fungi	_Ascomycota	_Eurotiomycetes	_Chaetothyriales	_Herpotrichiellaceae	_Exophiala	_Exophiala_radicis	0.999895012
Zotu61	Fungi	_Ascomycota						0.716668224
Zotu62	Fungi	_Ascomycota	_Sordariomycetes	_Hypocreales	_Hypocreaceae	_Trichoderma	_Trichoderma_pubescens	0.869202559
Zotu63	Fungi	_Basidiomycota	_Agaricomycetes	_Agaricales	_Clavariaceae	_Clavulinopsis		0.871202926
Zotu64	Fungi	_Ascomycota	_Leotiomycetes	_Helotiales	_Myxotrichaceae	_Oidiodendron	_Oidiodendron_chlamydosporicum	0.98976173
Zotu65	Fungi	_Ascomycota	_Pezizomycetes	_Pezizales	_Pyronemataceae	_Wilcoxina	_Wilcoxina_rehmii	1
Zotu66	Fungi	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	0.730279614
Zotu67	Fungi	_Ascomycota	_Eurotiomycetes	_Chaetothyriales	_Trichomeriaceae	_Knufia	_Knufia_tsunedae	0.999008143
Zotu68	Fungi	_Ascomycota	_Sordariomycetes	_Sordariales	_Chaetomiaceae	_Trichocladium	_Trichocladium_opacum	0.999967944
Zotu69	Fungi	_Ascomycota	_Eurotiomycetes	_Eurotiales	_Aspergillaceae	_Penicillium		0.999910055
Zotu70	Fungi	_Ascomycota	_Dothideomycetes	_Pleosporales	_Pleosporales_fam_Incertae_sedis	_Thyrostroma	_unidentified	0.721098395
Zotu71	Fungi	_Basidiomycota	_Geminibasidiomycetes	_Geminibasidiales	_Geminibasidiaceae	_Geminibasidium	_unidentified	0.999333128
Zotu72	Fungi	_Mortierellomycota	_Mortierellomycetes	_Mortierellales	_Mortierellaceae	_Mortierella	_Mortierella_sarnyensis	0.999419451
Zotu73	Fungi	_Ascomycota	_Eurotiomycetes	_Chaetothyriales	_Herpotrichiellaceae	_Cladophialophora	_unidentified	0.949717393
Zotu74	Fungi	_Ascomycota	_Dothideomycetes	_Capnodiales	_unidentified	_unidentified	_unidentified	0.718981496
Zotu75	Fungi							1
Zotu76	Fungi	_Ascomycota	_Dothideomycetes	_Capnodiales	_unidentified	_unidentified	_unidentified	0.885807021
Zotu77	Fungi	_Ascomycota	_Leotiomycetes	_Helotiales	_Myxotrichaceae	_Oidiodendron	_Oidiodendron_chlamydosporicum	0.935283384
Zotu78	Fungi	_Basidiomycota	_Agaricomycetes	_Agaricales	_Cortinariaceae	_Cortinarius	_Cortinarius_diasemospermus	0.900400135
Zotu79	Fungi	_Ascomycota	_Sordariomycetes	_Hypocreales	_Stachybotryaceae			0.999999617
Zotu80	Fungi							1
Zotu81	Fungi	_Ascomycota	_Sordariomycetes	_Hypocreales	_Nectriaceae	_Fusarium	_Fusarium_solani	0.995502213
Zotu82	Fungi	_Ascomycota	_Sordariomycetes	_Sordariales	_Sordariales_fam_Incertae_sedis	_Staphylotrichum	_Staphylotrichum_coccosporum	0.999956001
Zotu83	Fungi	_Mortierellomycota	_Mortierellomycetes	_Mortierellales	_Mortierellaceae			0.999218977
Zotu84	Fungi	_Ascomycota	_Sordariomycetes	_Hypocreales	_Nectriaceae	_Ilyonectria	_Ilyonectria_mors-panacis	0.712444781
Zotu85	Fungi	_Mortierellomycota	_Mortierellomycetes	_Mortierellales	_Mortierellaceae	_Mortierella	_Mortierella_humilis	0.999957838
Zotu86	Fungi	_Ascomycota	_Eurotiomycetes	_Eurotiales	_Aspergillaceae	_Penicillium		0.999987083
Zotu87	Fungi							1
Zotu88	Fungi	_Ascomycota	_Eurotiomycetes	_Eurotiales	_Trichocomaceae	_Talaromyces	_Talaromyces_verruculosus	0.795204295
Zotu89	Fungi	_Basidiomycota	_Agaricomycetes	_Agaricales	_Hygrophoraceae	_Hygrocybe	_Hygrocybe_conica	0.960032148
Zotu90	Fungi	_Basidiomycota	_Agaricomycetes	_Russulales	_Russulaceae	_Russula		0.821203439
Zotu91	Fungi	_Basidiomycota	_Agaricomycetes					0.724404359
Zotu92	Fungi	_Ascomycota	_Dothideomycetes	_Pleosporales	_Lophiostomataceae	_unidentified	_unidentified	0.794325793
Zotu93	Fungi	_Basidiomycota	_Agaricomycetes	_Trechisporales	_Hydnodontaceae	_Subulicystidium	_Subulicystidium_perlongisporum	0.994682263
Zotu94	Fungi	_Ascomycota	_Leotiomycetes	_Helotiales	_Helotiaceae	_Tetracladium	_unidentified	0.837125858
Zotu95	Fungi	_Basidiomycota	_Agaricomycetes	_Cantharellales	_Ceratobasidiaceae	_unidentified	_unidentified	0.935979855
Zotu96	Fungi	_Mortierellomycota	_Mortierellomycetes	_Mortierellales	_Mortierellaceae	_Mortierella	_unidentified	0.781985164
Zotu97	Fungi	_Ascomycota	_Archaeorhizomycetes	_Archaeorhizomycetales	_Archaeorhizomycetaceae	_Archaeorhizomyces	_unidentified	0.986641085
Zotu98	Fungi	_Mortierellomycota	_Mortierellomycetes	_Mortierellales	_Mortierellaceae	_Mortierella	_Mortierella_ambigua	0.999999314
Zotu99	Fungi	_Ascomycota	_Sordariomycetes	_Hypocreales	_Ophiocordycipitaceae	_Purpureocillium	_Purpureocillium_lilacinum	0.986879981
Zotu100	Fungi							1
Zotu101	Fungi	_Basidiomycota	_Agaricomycetes	_Agaricales	_Tricholomataceae	_Mycenella	_Mycenella_trachyspora	0.774500157
Zotu102	Fungi	_Ascomycota	_Eurotiomycetes	_Eurotiales	_Aspergillaceae	_Penicillium	_Penicillium_camemberti	0.742061361
Zotu103	Fungi	_Ascomycota	_Eurotiomycetes	_Chaetothyriales	_Trichomeriaceae	_Knufia	_Knufia_peltigerae	0.992392038
Zotu104	Fungi	_Ascomycota	_Sordariomycetes	_Sordariales	_Chaetomiaceae	_Humicola	_Humicola_nigrescens	0.905033337
Zotu105	Fungi	_Ascomycota	_Leotiomycetes	_Helotiales	_Myxotrichaceae	_Oidiodendron	_Oidiodendron_chlamydosporicum	0.966471955
Zotu106	Fungi	_Ascomycota	_Archaeorhizomycetes	_Archaeorhizomycetales	_Archaeorhizomycetaceae	_Archaeorhizomyces	_unidentified	0.954283102
Zotu107	Fungi	_Ascomycota	_Eurotiomycetes	_Chaetothyriales				0.788811041
Zotu108	Fungi	_Basidiomycota	_Agaricomycetes	_Russulales	_Russulaceae	_Russula	_Russula_puellaris	0.941462081
Zotu109	Fungi	_Basidiomycota	_Agaricomycetes	_Agaricales	_Clavariaceae	_Clavulinopsis		0.999982112
Zotu110	Fungi							1
Zotu111	Fungi	_Basidiomycota	_Agaricomycetes	_Trechisporales	_Hydnodontaceae	_Subulicystidium	_Subulicystidium_perlongisporum	0.991199229
Zotu112	Fungi	_Ascomycota	_Sordariomycetes	_Hypocreales	_Nectriaceae	_Fusarium	_unidentified	0.748302316
Zotu113	Fungi	_Ascomycota	_Leotiomycetes	_Helotiales	_Helotiales_fam_Incertae_sedis	_Leptodontidium	_unidentified	0.771073302
Zotu114	Fungi	_Basidiomycota	_Agaricomycetes	_Agaricales	_Hygrophoraceae	_Gliophorus	_Gliophorus_psittacinus	0.821611029
Zotu115	Fungi	_Basidiomycota	_Agaricomycetes	_Geastrales	_Geastraceae	_Geastrum	_unidentified	0.814860853
Zotu116	Fungi	_Mortierellomycota	_Mortierellomycetes	_Mortierellales	_Mortierellaceae	_Mortierella		0.999984312
Zotu117	Fungi	_Ascomycota	_Dothideomycetes	_Pleosporales	_Didymellaceae	_unidentified	_unidentified	0.986210702
Zotu118	Fungi	_Mortierellomycota	_Mortierellomycetes	_Mortierellales	_Mortierellaceae	_Mortierella	_Mortierella_alpina	0.984764158
Zotu119	Fungi	_Ascomycota	_Dothideomycetes	_Pleosporales	_Sporormiaceae	_Sparticola	_Sparticola_junci	0.995173512
Zotu120	Fungi	_Ascomycota						0.867388682
Zotu121	Fungi	_Basidiomycota	_Geminibasidiomycetes	_Geminibasidiales	_Geminibasidiaceae	_Geminibasidium	_unidentified	0.999935113
Zotu122	Fungi	_Mortierellomycota	_Mortierellomycetes	_Mortierellales	_Mortierellaceae	_Mortierella	_Mortierella_exigua	0.999546249
Zotu123	Fungi	_Ascomycota	_Sordariomycetes	_Sordariales	_Sordariales_fam_Incertae_sedis	_Staphylotrichum	_Staphylotrichum_coccosporum	0.999985322
Zotu124	Fungi	_Mortierellomycota	_Mortierellomycetes	_Mortierellales	_Mortierellaceae	_Mortierella	_Mortierella_alpina	0.901537087
Zotu125	Fungi	_Ascomycota	_Sordariomycetes	_Hypocreales				0.982302051
Zotu126	Fungi	_Ascomycota	_Leotiomycetes	_Thelebolales	_Pseudeurotiaceae	_Pseudogymnoascus	_unidentified	0.913945096
Zotu127	Fungi	_Basidiomycota	_Agaricomycetes	_Atheliales	_Atheliaceae	_Amphinema	_unidentified	0.97665846
Zotu128	Fungi	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	0.741186059
Zotu129	Fungi	_Basidiomycota	_Agaricomycetes	_Agaricales	_Hygrophoraceae	_Hygrocybe	_Hygrocybe_conica	0.995805675
Zotu130	Fungi	_Ascomycota	_Sordariomycetes	_Hypocreales	_Hypocreaceae	_Trichoderma		0.999942308
Zotu131	Fungi	_Ascomycota	_Sordariomycetes	_Hypocreales	_Nectriaceae	_Thelonectria	_Thelonectria_acrotyla	0.976141303
Zotu132	Fungi	_Ascomycota	_Leotiomycetes	_Helotiales	_Myxotrichaceae	_Oidiodendron	_Oidiodendron_chlamydosporicum	0.982515121
Zotu133	Fungi	_Ascomycota	_Eurotiomycetes	_Eurotiales	_Aspergillaceae	_Penicillium	_Penicillium_senticosum	0.999554267
Zotu134	Fungi	_Basidiomycota	_Agaricomycetes	_Agaricales	_Tricholomataceae	_Tricholosporum	_Tricholosporum_porphyrophyllum	0.781121214
Zotu135	Fungi	_Ascomycota	_Eurotiomycetes	_Chaetothyriales	_Trichomeriaceae	_Knufia	_Knufia_peltigerae	0.990116301
Zotu136	Fungi	_Ascomycota	_Archaeorhizomycetes	_Archaeorhizomycetales	_Archaeorhizomycetaceae	_Archaeorhizomyces	_unidentified	0.917563078
Zotu137	Fungi	_Basidiomycota	_Agaricomycetes	_Agaricales	_Inocybaceae	_Inocybe	_unidentified	0.989887052
Zotu138	Fungi	_Ascomycota	_Leotiomycetes	_Thelebolales				0.99997992
Zotu139	Fungi	_Ascomycota	_Sordariomycetes	_Sordariales	_Chaetomiaceae			0.999721048
Zotu140	Fungi	_Ascomycota	_Eurotiomycetes	_Chaetothyriales	_Herpotrichiellaceae	_Cladophialophora	_unidentified	0.725790675
Zotu141	Fungi	_Basidiomycota	_Agaricomycetes	_Agaricales	_Cortinariaceae	_Cortinarius		0.999358009
Zotu142	Fungi	_Mortierellomycota	_Mortierellomycetes	_Mortierellales	_Mortierellaceae	_Mortierella	_Mortierella_elongata	0.990282581
Zotu143	Fungi							1
Zotu144	Fungi	_Ascomycota	_Eurotiomycetes	_Chaetothyriales	_Herpotrichiellaceae	_Cladophialophora	_unidentified	0.98034331
Zotu145	Fungi	_Ascomycota	_Dothideomycetes	_Capnodiales				0.911672434
Zotu146	Fungi	_Ascomycota	_Dothideomycetes	_Capnodiales	_Teratosphaeriaceae	_Oleoguttula	_unidentified	0.733228779
Zotu147	Fungi	_Ascomycota	_Dothideomycetes	_Pleosporales	_Didymellaceae			0.999976752
Zotu148	Fungi	_Ascomycota	_Sordariomycetes	_Hypocreales	_Ophiocordycipitaceae	_Purpureocillium	_Purpureocillium_lilacinum	0.971183473
Zotu149	Fungi	_Ascomycota	_Eurotiomycetes	_Chaetothyriales	_Herpotrichiellaceae	_unidentified	_unidentified	0.926140037
Zotu150	Fungi	_Basidiomycota	_Agaricomycetes	_Agaricales	_unidentified	_unidentified	_unidentified	0.745105028
Zotu151	Fungi	_Ascomycota	_Sordariomycetes	_Hypocreales	_Nectriaceae			0.999959249
Zotu152	Fungi	_Basidiomycota	_Tremellomycetes	_Filobasidiales	_Piskurozymaceae	_Solicoccozyma	_unidentified	0.893024769
Zotu153	Fungi	_Basidiomycota	_Agaricomycetes					0.704938297
Zotu154	Fungi	_Basidiomycota	_Agaricomycetes	_Thelephorales	_Thelephoraceae	_unidentified	_unidentified	0.89466625
Zotu155	Fungi	_Basidiomycota	_Geminibasidiomycetes	_Geminibasidiales	_Geminibasidiaceae	_Geminibasidium	_unidentified	0.996230891
Zotu156	Fungi							1
Zotu157	Fungi	_Ascomycota	_Sordariomycetes	_Sordariales	_Cephalothecaceae	_unidentified	_unidentified	0.999996679
Zotu158	Fungi	_Ascomycota	_Sordariomycetes	_Hypocreales	_Nectriaceae	_Fusicolla	_Fusicolla_septimanifiniscientiae	0.941643892
Zotu159	Fungi	_Ascomycota	_Archaeorhizomycetes	_Archaeorhizomycetales	_Archaeorhizomycetaceae	_Archaeorhizomyces	_unidentified	0.742575089
Zotu160	Fungi	_Basidiomycota	_Agaricomycetes	_Agaricales				0.999878741
Zotu161	Fungi	_Ascomycota	_Archaeorhizomycetes	_Archaeorhizomycetales	_Archaeorhizomycetaceae	_Archaeorhizomyces	_unidentified	0.99993775
Zotu162	Fungi	_Ascomycota	_Archaeorhizomycetes	_Archaeorhizomycetales	_Archaeorhizomycetaceae	_Archaeorhizomyces	_unidentified	0.999855672
Zotu163	Fungi	_Ascomycota	_Eurotiomycetes	_Chaetothyriales	_Trichomeriaceae	_Knufia	_Knufia_peltigerae	0.986116859
Zotu164	Fungi	_Ascomycota	_Sordariomycetes	_Hypocreales	_Nectriaceae	_Ilyonectria	_Ilyonectria_macrodidyma	0.825823199
Zotu165	Fungi							1
Zotu166	Fungi	_Basidiomycota	_Tremellomycetes	_Filobasidiales	_Piskurozymaceae	_Solicoccozyma	_unidentified	0.828683956
Zotu167	Fungi	_Ascomycota	_Archaeorhizomycetes	_Archaeorhizomycetales	_Archaeorhizomycetaceae	_Archaeorhizomyces	_unidentified	0.999755823
Zotu168	Fungi	_Ascomycota	_Eurotiomycetes	_Chaetothyriales	_Trichomeriaceae	_Knufia	_Knufia_tsunedae	0.880987085
Zotu169	Fungi	_Ascomycota	_Leotiomycetes					0.983789754
Zotu170	Fungi							1
Zotu171	Fungi	_Ascomycota	_Sordariomycetes	_Sordariales	_Chaetomiaceae			0.964325215
Zotu172	Fungi	_Basidiomycota	_Agaricomycetes	_Russulales	_Russulaceae			0.9999861
Zotu173	Fungi	_Basidiomycota	_Agaricomycetes	_Russulales	_Russulaceae	_Russula	_Russula_sardonia	0.883691386
Zotu174	Fungi	_Ascomycota	_Sordariomycetes	_Hypocreales	_Nectriaceae	_Fusarium		0.925756959
Zotu175	Fungi	_Basidiomycota	_Agaricomycetes	_Agaricales	_Hymenogastraceae	_Hymenogaster	_Hymenogaster_griseus	0.999987978
Zotu176	Fungi	_Ascomycota	_Dothideomycetes					0.701268446
Zotu177	Fungi	_Ascomycota	_Archaeorhizomycetes	_Archaeorhizomycetales	_Archaeorhizomycetaceae	_Archaeorhizomyces	_unidentified	0.999897501
Zotu178	Fungi	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	0.758724061
Zotu179	Fungi	_Ascomycota	_Archaeorhizomycetes	_Archaeorhizomycetales	_Archaeorhizomycetaceae	_Archaeorhizomyces	_unidentified	0.988232228
Zotu180	Fungi	_Ascomycota	_Archaeorhizomycetes	_Archaeorhizomycetales	_Archaeorhizomycetaceae	_Archaeorhizomyces	_unidentified	0.999689614
Zotu181	Fungi	_Ascomycota	_Eurotiomycetes	_Eurotiales	_Aspergillaceae	_Aspergillus	_Aspergillus_penicillioides	0.999397134
Zotu182	Fungi	_Mortierellomycota	_Mortierellomycetes	_Mortierellales	_Mortierellaceae	_Mortierella	_Mortierella_alpina	0.956256219
Zotu183	Fungi							1
Zotu184	Fungi	_Ascomycota	_Leotiomycetes	_Helotiales				0.996218353
Zotu185	Fungi	_Ascomycota	_Sordariomycetes	_Coniochaetales	_Coniochaetaceae	_unidentified	_unidentified	0.925714767
Zotu186	Fungi	_Ascomycota	_Archaeorhizomycetes	_Archaeorhizomycetales	_Archaeorhizomycetaceae	_Archaeorhizomyces	_unidentified	0.999478393
Zotu187	Fungi	_Basidiomycota	_Agaricomycetes	_Sebacinales	_Sebacinaceae	_Sebacina	_unidentified	0.997631581
Zotu188	Fungi	_Ascomycota	_Sordariomycetes	_Hypocreales	_Nectriaceae	_Fusarium	_Fusarium_solani	0.998941018
Zotu189	Fungi	_Ascomycota	_Archaeorhizomycetes	_Archaeorhizomycetales	_Archaeorhizomycetaceae	_Archaeorhizomyces	_unidentified	0.964149647
Zotu190	Fungi							1
Zotu191	Fungi							1
Zotu192	Fungi	_Ascomycota	_Archaeorhizomycetes	_Archaeorhizomycetales	_Archaeorhizomycetaceae	_Archaeorhizomyces	_unidentified	0.999171706
Zotu193	Fungi	_Ascomycota	_Leotiomycetes					0.970167456
Zotu194	Fungi	_Ascomycota	_Dothideomycetes	_Mytilinidales	_Gloniaceae	_Cenococcum	_unidentified	0.974648527
Zotu195	Fungi	_Ascomycota	_Leotiomycetes	_Helotiales	_Helotiales_fam_Incertae_sedis	_Leptodontidium	_unidentified	0.837562779
Zotu196	Fungi	_Ascomycota	_Eurotiomycetes	_Chaetothyriales	_Trichomeriaceae	_Knufia	_Knufia_tsunedae	0.99918779
Zotu197	Fungi	_Ascomycota	_Sordariomycetes	_Chaetosphaeriales	_Chaetosphaeriaceae	_Dictyochaeta	_Dictyochaeta_siamensis	0.962888435
Zotu198	Fungi	_Basidiomycota	_Agaricomycetes	_Agaricales	_Hygrophoraceae	_Hygrocybe	_unidentified	0.99668542
Zotu199	Fungi	_Basidiomycota	_Geminibasidiomycetes	_Geminibasidiales	_Geminibasidiaceae	_Geminibasidium	_unidentified	0.99851306
Zotu200	Fungi	_Basidiomycota	_Geminibasidiomycetes	_Geminibasidiales	_Geminibasidiaceae	_Geminibasidium	_unidentified	0.999158331
Zotu201	Fungi	_Ascomycota	_Sordariomycetes	_Hypocreales	_Nectriaceae			0.996218472
Zotu202	Fungi	_Ascomycota	_Sordariomycetes	_Hypocreales	_Clavicipitaceae	_Metarhizium	_Metarhizium_anisopliae	0.999950929
Zotu203	Fungi	_Basidiomycota	_Agaricomycetes	_Agaricales	_Entolomataceae	_Entoloma		0.999138985
Zotu204	Fungi	_Basidiomycota	_Agaricomycetes	_Russulales	_Russulaceae	_Russula		0.997413933
Zotu205	Fungi	_Basidiomycota	_Agaricomycetes	_Thelephorales	_Thelephoraceae			0.999995206
Zotu206	Fungi	_Ascomycota	_Eurotiomycetes	_Chaetothyriales	_Herpotrichiellaceae	_Coniosporium	_unidentified	0.839353972
Zotu207	Fungi	_Mortierellomycota	_Mortierellomycetes	_Mortierellales	_Mortierellaceae	_Mortierella	_Mortierella_wolfii	0.999999401
Zotu208	Fungi	_Basidiomycota	_Agaricomycetes	_Auriculariales	_unidentified	_unidentified	_unidentified	0.831884962
Zotu209	Fungi							1
Zotu210	Fungi	_Ascomycota	_Archaeorhizomycetes	_Archaeorhizomycetales	_Archaeorhizomycetaceae	_Archaeorhizomyces	_unidentified	0.882750148
Zotu211	Fungi	_Basidiomycota	_Agaricomycetes	_Boletales	_Boletaceae	_unidentified	_unidentified	0.802656681
Zotu212	Fungi	_Ascomycota	_Leotiomycetes	_Helotiales	_Myxotrichaceae	_Oidiodendron		0.999983442
Zotu213	Fungi	_Ascomycota	_Archaeorhizomycetes	_Archaeorhizomycetales	_Archaeorhizomycetaceae	_Archaeorhizomyces	_unidentified	0.999924513
Zotu214	Fungi	_Mortierellomycota	_Mortierellomycetes	_Mortierellales	_Mortierellaceae	_Mortierella	_Mortierella_alpina	0.992425176
Zotu215	Fungi	_Mortierellomycota	_Mortierellomycetes	_Mortierellales	_unidentified	_unidentified	_unidentified	0.801295842
