	kingdom	phylum	class	order	family	genus	species	Confidence
Zotu15443	Fungi	_Ascomycota	_Eurotiomycetes	_Chaetothyriales	_Herpotrichiellaceae	_Cladophialophora		0.985496655
Zotu15444	Fungi	_Ascomycota	_Eurotiomycetes	_Chaetothyriales	_Herpotrichiellaceae	_Exophiala		0.999839997
Zotu15445	Fungi	_Ascomycota	_Dothideomycetes	_Venturiales	_Venturiaceae	_unidentified	_unidentified	0.993482103
Zotu15446	Fungi							1
Zotu15447	Fungi	_Basidiomycota	_Agaricomycetes	_Agaricales	_Tricholomataceae			0.992698486
Zotu15448	Fungi	_Glomeromycota	_Glomeromycetes	_Glomerales	_Glomeraceae	_Dominikia	_Dominikia_difficilevidera	0.934864622
Zotu15449	Fungi	_Ascomycota						0.854728148
Zotu15450	Fungi	_Ascomycota	_Sordariomycetes	_Diaporthales	_Diaporthaceae	_Diaporthe	_Diaporthe_phaseolorum	0.978550118
Zotu15451	Fungi	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	0.851477554
Zotu15452	Fungi	_Ascomycota	_Sordariomycetes	_Sordariales	_Lasiosphaeriaceae	_Echria	_unidentified	0.883039766
Zotu15453	Fungi	_Chytridiomycota	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	0.752158566
Zotu15454	Fungi	_Basidiomycota	_Agaricomycetes	_Agaricales	_Tricholomataceae			0.91624435
Zotu15455	Fungi	_Ascomycota	_Sordariomycetes	_Hypocreales				0.988607964
Zotu15456	Fungi	_Ascomycota	_Lecanoromycetes	_Lecanorales	_Cladoniaceae	_Cladonia	_Cladonia_cervicornis	0.980392769
Zotu15457	Fungi	_Ascomycota	_Leotiomycetes	_Helotiales	_Helotiaceae	_Tympanis	_unidentified	0.951269922
Zotu15458	Fungi	_Ascomycota	_Sordariomycetes	_Myrmecridiales	_Myrmecridiaceae	_Myrmecridium		0.999989156
Zotu15459	Fungi	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	0.928708976
Zotu15460	Fungi	_Rozellomycota	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	0.97796643
Zotu15461	Fungi	_Ascomycota	_Eurotiomycetes	_Chaetothyriales				0.709105605
Zotu15462	Fungi	_Ascomycota	_Sordariomycetes	_Sordariales	_Chaetomiaceae	_Arcopilus	_Arcopilus_cupreus	0.989633673
Zotu15463	Fungi	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	0.837830582
Zotu15464	Fungi	_Glomeromycota	_Paraglomeromycetes	_Paraglomerales				0.784913921
Zotu15465	Fungi	_Ascomycota	_Dothideomycetes	_Pleosporales	_Didymosphaeriaceae	_Kalmusia	_unidentified	0.999996115
Zotu15466	Fungi							1
Zotu15467	Fungi	_Ascomycota	_Sordariomycetes	_Sordariales	_Chaetomiaceae	_unidentified	_unidentified	0.941712192
Zotu15468	Fungi							1
Zotu15469	Fungi	_Ascomycota	_Sordariomycetes	_Chaetosphaeriales	_Chaetosphaeriaceae	_Dinemasporium	_Dinemasporium_pseudostrigosum	0.858017206
Zotu15470	Fungi	_Ascomycota	_Sordariomycetes					0.885004845
Zotu15471	Fungi	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	0.896459278
Zotu15472	Fungi	_Ascomycota	_Dothideomycetes	_Capnodiales				0.99762216
Zotu15473	Fungi	_Basidiomycota	_Agaricomycetes	_Agaricales	_Tricholomataceae	_Flagelloscypha	_Flagelloscypha_minutissima	0.999935983
Zotu15474	Fungi	_Ascomycota	_Dothideomycetes	_Capnodiales	_unidentified	_unidentified	_unidentified	0.980867995
Zotu15475	Fungi	_Ascomycota	_Dothideomycetes	_Pleosporales	_Lophiotremataceae	_Atrocalyx	_Atrocalyx_bambusae	0.883197934
Zotu15476	Fungi	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	0.74126034
Zotu15477	Fungi	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	0.960148574
Zotu15478	Fungi	_Ascomycota	_Dothideomycetes	_Venturiales	_Sympoventuriaceae	_Ochroconis	_unidentified	0.998503929
Zotu15479	Fungi	_Ascomycota						0.833304834
Zotu15480	Fungi	_Basidiomycota	_Agaricomycetes	_Agaricales	_Clavariaceae	_unidentified	_unidentified	0.999925427
Zotu15481	Fungi	_Ascomycota	_Pezizomycetes	_Pezizales	_Pezizales_fam_Incertae_sedis	_Trichobolus	_Trichobolus_zukalii	0.999993751
Zotu15482	Fungi	_Ascomycota						0.708192784
Zotu15483	Fungi	_Ascomycota	_Dothideomycetes	_Pleosporales	_Lentitheciaceae	_Darksidea	_unidentified	0.82195121
Zotu15484	Fungi	_Basidiomycota	_Agaricomycetes	_Cantharellales	_Ceratobasidiaceae			0.999735224
