	kingdom	phylum	class	order	family	genus	species
Otu10966	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Dominikia	Dominikia_iranica
Otu10967	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Tremella	
Otu10968	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pluteaceae	Pluteus	
Otu10969	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
Otu10970	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
Otu10971	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
Otu10972	Fungi	Ascomycota	Sordariomycetes				
Otu10973	Fungi						
Otu10974	Fungi						
Otu10975	Fungi	Rozellomycota	unidentified	unidentified	unidentified	unidentified	unidentified
Otu10976	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
Otu10977	Fungi	Ascomycota					
Otu10978	Fungi	Ascomycota	Sordariomycetes				
Otu10979	Fungi						
Otu10980	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Valsaceae	Cytospora	unidentified
Otu10981	Fungi						
Otu10982	Fungi						
Otu10983	Fungi						
Otu10984	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis_stercorea
Otu10985	Fungi						
Otu10986	Fungi						
Otu10987	Fungi						
Otu10988	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
Otu10989	Fungi	Basidiomycota					
Otu10990	Fungi						
Otu10991	Fungi						
Otu10992	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae		
Otu10993	Fungi						
Otu10994	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unidentified	unidentified	unidentified
Otu10995	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	unidentified
Otu10996	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae		
Otu10997	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Bactrodesmium	Bactrodesmium_pallidum
Otu10998	Fungi						
Otu10999	Fungi						
Otu11000	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	unidentified	unidentified	unidentified
Otu11001	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
Otu11002	Fungi	Basidiomycota	Agaricomycetes				
Otu11003	Fungi	Ascomycota	Sordariomycetes				
Otu11004	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Hypoxylon	Hypoxylon_howeanum
Otu11005	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales			
Otu11006	Fungi	Ascomycota	Leotiomycetes	Helotiales			
Otu11007	Fungi	Ascomycota					
Otu11008	Fungi	Ascomycota	Sordariomycetes				
Otu11009	Fungi						
Otu11010	Fungi	Ascomycota					
Otu11011	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	Beauveria_felina
Otu11012	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
Otu11013	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Pseudorobillarda	Pseudorobillarda_phragmitis
Otu11014	Fungi						
Otu11015	Fungi	Ascomycota	Sordariomycetes	Conioscyphales	Conioscyphaceae	Conioscypha	unidentified
Otu11016	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	unidentified	unidentified
Otu11017	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
Otu11018	Fungi						
Otu11019	Fungi	Chytridiomycota	Spizellomycetes	Spizellomycetales	Spizellomycetaceae	Spizellomyces	unidentified
Otu11020	Fungi	Ascomycota	Sordariomycetes	Magnaporthales	Magnaporthaceae	Slopeiomyces	Slopeiomyces_cylindrosporus
Otu11021	Fungi						
Otu11022	Fungi	Ascomycota					
Otu11023	Fungi						
Otu11024	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
Otu11025	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
Otu11026	Fungi						
Otu11027	Fungi						
Otu11028	Fungi	Ascomycota					
Otu11029	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Simplicillium	Simplicillium_lanosoniveum
Otu11030	Fungi						
Otu11031	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenales_fam_Incertae_sedis	Spiromastix	Spiromastix_warcupii
Otu11032	Fungi						
Otu11033	Fungi	Ascomycota	Sordariomycetes	Sordariales			
Otu11034	Fungi	Ascomycota	Pezizomycetes	Pezizales			
Otu11035	Fungi	Basidiomycota					
Otu11036	Fungi						
Otu11037	Fungi	Basidiomycota	Microbotryomycetes				
Otu11038	Fungi						
Otu11039	Fungi	Ascomycota	Sordariomycetes				
Otu11040	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
Otu11041	Fungi						
