	kingdom	phylum	class	order	family	genus	species
Otu4626	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	WD2101 soil group		
Otu4627	Bacteria	Patescibacteria	Microgenomatia				
Otu4628	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Steroidobacter	
Otu4629	Bacteria	Elusimicrobia	Elusimicrobia	Lineage IV	uncultured bacterium		
Otu4630	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	uncultured	uncultured delta proteobacterium	
Otu4631	Bacteria	Planctomycetes	Planctomycetacia	Isosphaerales	Isosphaeraceae	uncultured	
Otu4632	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	uncultured	
Otu4633	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Pyrinomonadales	Pyrinomonadaceae	RB41	
Otu4634	Bacteria						
Otu4635	Bacteria	Planctomycetes	Pla4 lineage	uncultured prokaryote			
Otu4636	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	Candidatus Paracaedibacter	
Otu4637	Bacteria	Actinobacteria	Acidimicrobiia	uncultured	uncultured bacterium		
Otu4638	Bacteria						
Otu4639	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	uncultured	uncultured bacterium
Otu4640	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	uncultured	uncultured Verrucomicrobia bacterium
Otu4641	Bacteria	Chloroflexi	TK10	uncultured bacterium			
Otu4642	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	
Otu4643	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	FFCH7168	uncultured bacterium
Otu4644	Bacteria	Actinobacteria	MB-A2-108	uncultured Catenulispora sp.			
Otu4645	Bacteria	Actinobacteria	MB-A2-108	uncultured bacterium			
Otu4646	Bacteria	Chloroflexi	Anaerolineae	RBG-13-54-9	uncultured bacterium UASB_TL14		
